# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6-beta3

adiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
aemerald.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
agold.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
airon.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
alapis.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
anether.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
aredstone.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autodebris.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autodiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autoemerald.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autogold.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autoiron.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autokick.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
con.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
counter.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
detect_debris_amount_mined_in_x_sec, long, 0000000000000007
detect_diamond_amount_mined_in_x_sec, long, 000000000000000D
detect_emerald_amount_mined_in_x_sec, long, 0000000000000007
detect_gold_amount_mined_in_x_sec, long, 0000000000000019
detect_iron_amount_mined_in_x_sec, long, 000000000000001E
diamond_amount_mined_in_x_sec, long, 0000000000000005
dore.-aj3904, long, 0000000000000000
dore.-ajkiller31, long, 0000000000000000
dore.-angelpink1991, long, 0000000000000000
dore.-beardedcocaire, long, 0000000000000000
dore.-blinkandurdead0, long, 0000000000000000
dore.-charahc, long, 0000000000000000
dore.-cooljayice, long, 0000000000000000
dore.-crazymexican938, long, 0000000000000000
dore.-dazed6977, long, 0000000000000000
dore.-deathnerd77, long, 0000000000000000
dore.-earthymama42, long, 0000000000000000
dore.-gryffydd89, long, 0000000000000000
dore.-hotashml, long, 0000000000000000
dore.-iamfriendbesto, long, 0000000000000000
dore.-ikkaku420235, long, 0000000000000000
dore.-kenpachi4202357, long, 0000000000000000
dore.-lenr0c86, long, 0000000000000000
dore.-lily_riley_roxi, long, 0000000000000000
dore.-lowerlevelll, long, 0000000000000000
dore.-mc0oz, long, 0000000000000000
dore.-miarkraim, long, 0000000000000000
dore.-mrbrink53, long, 0000000000000000
dore.-mrsshmeethumb, long, 0000000000000000
dore.-mrzpriceless73, long, 0000000000000000
dore.-natiri607, long, 0000000000000000
dore.-netherkicks, long, 0000000000000000
dore.-nixragnarson, long, 0000000000000000
dore.-noobe_doobe6363, long, 0000000000000000
dore.-ogloc_bruh, long, 0000000000000000
dore.-parrotgirl4333, long, 0000000000000000
dore.-pnnicolas, long, 0000000000000000
dore.-rainbowowl88378, long, 0000000000000000
dore.-sfn2048, long, 0000000000000000
dore.-shadowgiver902, long, 0000000000000000
dore.-shmeethumb, long, 0000000000000000
dore.-shyp4nd4, long, 0000000000000000
dore.-sierralovesyou2, long, 0000000000000000
dore.-stabaho187, long, 0000000000000000
dore.-steverm9403, long, 0000000000000000
dore.-stillnym1988517, long, 0000000000000000
dore.-turningcupid, long, 0000000000000000
dore.-vampires_heart6, long, 0000000000000000
dore.-vcloutphobia, long, 0000000000000000
dore.-wildernesboy, long, 0000000000000000
dore.-xxtroy90xx, long, 0000000000000000
dore._simplysav, long, 0000000000000000
dore.alexzaza, long, 0000000000000000
dore.amin_nasir91, long, 0000000000000000
dore.athwee, long, 0000000000000000
dore.bigbeast89, long, 0000000000000000
dore.biglittleben, long, 0000000000000000
dore.black00widow, long, 0000000000000000
dore.blackcats96, long, 0000000000000000
dore.boopydoopy2350, long, 0000000000000000
dore.certizz, long, 0000000000000000
dore.doddy06, long, 0000000000000000
dore.ecgredneck, long, 0000000000000000
dore.eclipsemc420, long, 0000000000000000
dore.find_wicked, long, 0000000000000000
dore.gamingzation, long, 0000000000000000
dore.haile160, long, 0000000000000000
dore.hathorill, long, 0000000000000000
dore.johnheikens, long, 0000000000000000
dore.kingkaitertot, long, 0000000000000000
dore.laizer101, long, 0000000000000000
dore.maddogselite1, long, 0000000000000000
dore.monaxide, long, 0000000000000000
dore.mr_matthews, long, 0000000000000000
dore.mrzpricey73, long, 0000000000000000
dore.mun_cheez, long, 0000000000000000
dore.muribaka89, long, 0000000000000000
dore.papi_grande2214, long, 0000000000000000
dore.radmobilegaming, long, 0000000000000000
dore.rageofheaven, long, 0000000000000000
dore.shadowy__duckie, long, 0000000000000000
dore.spenceronline, long, 0000000000000000
dore.squishiedragon, long, 0000000000000000
dore.stabaho187, long, 0000000000000000
dore.swagdaddy278, long, 0000000000000000
dore.t0iiialuminati, long, 0000000000000000
dore.turtleduck840, long, 0000000000000000
dore.turtlegaming840, long, 0000000000000000
dore.tyler882d1, long, 0000000000000000
dore.xxtroy_90xx, long, 0000000000000000
dore.yeetthedirtblok, long, 0000000000000000
emerald_amount_mined_in_x_sec, long, 0000000000000003
eore.-aj3904, long, 0000000000000000
eore.-ajkiller31, long, 0000000000000000
eore.-angelpink1991, long, 0000000000000000
eore.-beardedcocaire, long, 0000000000000000
eore.-blinkandurdead0, long, 0000000000000000
eore.-charahc, long, 0000000000000000
eore.-cooljayice, long, 0000000000000000
eore.-crazymexican938, long, 0000000000000000
eore.-dazed6977, long, 0000000000000000
eore.-deathnerd77, long, 0000000000000000
eore.-earthymama42, long, 0000000000000000
eore.-gryffydd89, long, 0000000000000000
eore.-hotashml, long, 0000000000000000
eore.-iamfriendbesto, long, 0000000000000000
eore.-ikkaku420235, long, 0000000000000000
eore.-kenpachi4202357, long, 0000000000000000
eore.-lenr0c86, long, 0000000000000000
eore.-lily_riley_roxi, long, 0000000000000000
eore.-lowerlevelll, long, 0000000000000000
eore.-mc0oz, long, 0000000000000000
eore.-miarkraim, long, 0000000000000000
eore.-mrbrink53, long, 0000000000000000
eore.-mrsshmeethumb, long, 0000000000000000
eore.-mrzpriceless73, long, 0000000000000000
eore.-natiri607, long, 0000000000000000
eore.-netherkicks, long, 0000000000000000
eore.-nixragnarson, long, 0000000000000000
eore.-noobe_doobe6363, long, 0000000000000000
eore.-ogloc_bruh, long, 0000000000000000
eore.-parrotgirl4333, long, 0000000000000000
eore.-pnnicolas, long, 0000000000000000
eore.-rainbowowl88378, long, 0000000000000000
eore.-sfn2048, long, 0000000000000000
eore.-shadowgiver902, long, 0000000000000000
eore.-shmeethumb, long, 0000000000000000
eore.-shyp4nd4, long, 0000000000000000
eore.-sierralovesyou2, long, 0000000000000000
eore.-stabaho187, long, 0000000000000000
eore.-steverm9403, long, 0000000000000000
eore.-stillnym1988517, long, 0000000000000000
eore.-turningcupid, long, 0000000000000000
eore.-vampires_heart6, long, 0000000000000000
eore.-vcloutphobia, long, 0000000000000000
eore.-wildernesboy, long, 0000000000000000
eore.-xxtroy90xx, long, 0000000000000000
eore._simplysav, long, 0000000000000000
eore.alexzaza, long, 0000000000000000
eore.amin_nasir91, long, 0000000000000000
eore.athwee, long, 0000000000000000
eore.bigbeast89, long, 0000000000000000
eore.biglittleben, long, 0000000000000000
eore.black00widow, long, 0000000000000000
eore.blackcats96, long, 0000000000000000
eore.boopydoopy2350, long, 0000000000000000
eore.certizz, long, 0000000000000000
eore.doddy06, long, 0000000000000000
eore.ecgredneck, long, 0000000000000000
eore.eclipsemc420, long, 0000000000000000
eore.find_wicked, long, 0000000000000000
eore.gamingzation, long, 0000000000000000
eore.haile160, long, 0000000000000000
eore.hathorill, long, 0000000000000000
eore.johnheikens, long, 0000000000000000
eore.kingkaitertot, long, 0000000000000000
eore.laizer101, long, 0000000000000000
eore.maddogselite1, long, 0000000000000000
eore.monaxide, long, 0000000000000000
eore.mr_matthews, long, 0000000000000000
eore.mrzpricey73, long, 0000000000000000
eore.mun_cheez, long, 0000000000000000
eore.muribaka89, long, 0000000000000000
eore.papi_grande2214, long, 0000000000000000
eore.radmobilegaming, long, 0000000000000000
eore.rageofheaven, long, 0000000000000000
eore.shadowy__duckie, long, 0000000000000000
eore.spenceronline, long, 0000000000000000
eore.squishiedragon, long, 0000000000000000
eore.stabaho187, long, 0000000000000000
eore.swagdaddy278, long, 0000000000000000
eore.t0iiialuminati, long, 0000000000000000
eore.turtleduck840, long, 0000000000000000
eore.turtlegaming840, long, 0000000000000000
eore.tyler882d1, long, 0000000000000000
